ID	분류	한국어명	영문명	Gemini 키워드	용도/풍자	추천 조합	비고
WP-11	시위 복장	노조 투쟁 조끼	union struggle vest	colored cotton labor vest over shirt, printed union slogans, worn look	노동·파업·조직 — 색·문구로 노조 소속 선언. 한국 시위 패션의 기본 3종 중 하나	WP-12+WP-13+GEN-15(정치스릴러)	검증: 조끼+머리띠+몸자보=한국 시위 정복. 문구는 가상
WP-12	시위 복장	머리띠	protest headband	red or white cotton headband with bold printed slogan tied around forehead	결의·투쟁·각오 — 이마의 구호=비타협 선언	WP-11+EM-09(분노)+M(휩팬)	검증: 시위 기본 3종. 한국 특유 기표
WP-13	시위 복장	몸자보(바디배너)	body banner / sash	cloth sash worn across the torso with large printed protest text	개인=걸어다니는 피켓 — 몸 자체를 메시지 매체로	WP-11+COMP-04(환유)	검증: body-banner=한국 시위 정복 요소
WP-14	시위 복장	피켓·플래카드	picket sign / placard	hand-held cardboard placard with bold hand-lettered slogan, raised high	직접 호소·구호 — 손글씨 패널이 곧 발화. 풍자=구호를 반전 카피로	GEN-15+COMP+EM-13	텍스트는 후반 합성 권장(NEG03 — 한글 렌더 취약)
WP-15	시위 복장	태극기·성조기	Korean / US flag prop	handheld Korean flag, sometimes paired with US flag, waved in a crowd	진영 정체성 — 광장 집회의 깃발 기표. 성조기 병용=특정 진영 코드(실측)	WP-05+GEN-15+M14(군중)	검증: 2024~25 탄핵 정국 태극기·성조기 병용 실측
WP-16	시위 복장	응원봉(라이트스틱)	K-pop light stick	glowing K-pop light stick held aloft in a night crowd, sea of colored lights	신세대 평화 시위 — 응원봉=비폭력·축제형 저항의 새 기표(2024 탄핵 집회)	GEN-09(군중)+LIGHT08(네온밤)+WX-야경	검증: 2024 탄핵 시위 응원봉 = 저항 상징화(다수 보도)
WP-17	시위 복장	마스크(구호면)	protest face mask	surgical or cloth face mask, sometimes printed with a short slogan	익명·저항·발화면 — 얼굴 가림+슬로건 표면 이중 기능	WP-12+EM(눈만 노출)	검증: 마스크=연막 방어+슬로건 표면. 익명성 풍자
WP-18	시위 복장	삭발	shaved head (protest)	freshly shaved head, scattered hair clippings, defiant expression	극한 항의 — 삭발=배수진·결사항전의 한국적 퍼포먼스 기표	EM-09+S08(클로즈업)+LIGHT05	검증: 삭발=한국 정치 항의의 오랜 전통. 강도 최상
WP-19	종교·의례복	성직자 복장	clergy vestments (generic)	generic clerical robe and collar, modest devotional dress	종교·도덕·권위 — 성속(聖俗) 위선 풍자. 특정 교단 식별 회피	LIGHT07(촛불)+STYLE19+ENV	특정 종교 비방 회피 — 일반화된 의례복으로
WP-20	종교·의례복	상복·근조	mourning attire	all-black mourning dress, white chrysanthemum, somber armband	애도·국상·책임 — 검은 옷=조의 또는 항의(흑정장 항의 사례)	WP-29+LIGHT05+WP-10	검증: 흑정장+검은리본=국회 애도형 항의 실측
WP-21	부의 기표	명품 시계	luxury wristwatch	oversized gold luxury wristwatch glinting on the wrist, ostentatious	부·특권·부패 — 손목의 한 점이 계급 폭로. 클로즈업 환유	WP-03+S10(익스트림CU)+COMP-04	브랜드 로고 회피 — 일반 '고가 시계'로. 부패 풍자 단골
WP-22	부의 기표	선글라스	dark designer sunglasses	sleek dark sunglasses hiding the eyes, cold detached look	위세·은폐·냉담 — 눈 가림=불통·권위. 표정 차단으로 비인간화	WP-03+EM-13(비응시)+LIGHT04	눈 가림=demand/offer 차단(VR-24). 거만 기표
WP-23	부의 기표	고급차 키·리모컨	luxury car key fob	expensive car key fob held casually, valet ticket	재력 과시 — 일상 소품으로 계급 노출. 풍자=서민 맥락과 부조화	WP-21+ENV(도심)	브랜드 엠블럼 회피. 소품 한 점의 계급 신호
WP-24	직업복	의사 가운	doctor's white coat	white medical coat, stethoscope, ID badge, clinical neat	의료·전문성·권위 — 의료 정책·파업 풍자. 청진기=직능 환유	ENV(병원)+LIGHT18+WP-30(명찰)	의료 정국 재연. 가운+청진기 식별 키
WP-25	직업복	작업복·안전모	worker's coveralls & hard hat	blue industrial coveralls, yellow safety helmet, worn gloves	노동·산업·현장 — 땀의 정직성 또는 산재·안전 풍자	GEN-12(사회리얼)+LIGHT18+WP-11	안전모 색=직군 코드. 노동 현장 기표
WP-26	직업복	앞치마(상인)	merchant's apron	market vendor's apron, sleeve guards, work-worn	서민·자영업·민생 — 시장 상인=민생의 얼굴. 민생 정책 풍자	ENV(시장)+STYLE03+LIGHT01	서민 대표 기표. 시장 환경과 세트
WP-27	직업복	정치인 점퍼	politician's field jacket	practical zip-up field jacket worn over a shirt, rolled sleeves, 'man of the people' look	민생 행보·현장 정치 — 점퍼=서민 코스프레 기표. 풍자=가식 폭로	WP-26+ENV(시장)+EM-03(가짜미소)	한국 정치인 '민생 점퍼' 관용. 위선 풍자 단골
WP-28	직업복	방탄조끼(유세)	campaign bulletproof vest	bulletproof tactical vest worn over a suit during a public appearance	정치 폭력·양극화 — 유세 방탄복=극단 대립의 시대 기표(실측)	WP-01+GEN-15+EM-08(긴장)	검증: 2025 방탄조끼 유세 보도. 폭력·분열 시사
WP-29	액세서리	리본 배지	ribbon badge	small colored ribbon pin on the lapel, [yellow/black] symbolic ribbon	추모·연대·캠페인 — 노란리본=세월호 추모·연대 기표(역사적 함의)	WP-10+WP-20+COMP-04	검증: 노란리본=세월호 추모·민주화 상징(위키 등). 색별 함의
WP-30	액세서리	명찰·완장	name tag / armband	official name tag or colored armband marking rank or role	직책·권한·소속 — 완장=위임된 권력. '완장 찼다'=권력 남용 풍자	WP-04+WP-30+VR-17(환유)	완장=한국어 권력남용 관용구의 시각화
WP-31	소품 권력기호	도장(인장)	official seal / stamp	large official ink seal pressed onto a document, red stamp mark	결재·승인·관료 — 도장=관료 권력의 환유. 한국 행정 특유 기표	WP-08+GEN-06+COMP-04	도장 문화=한국 행정 고유. 결재 권력 풍자
WP-32	소품 권력기호	서류가방	briefcase / document folder	formal leather briefcase or thick document folder clutched tightly	기밀·거래·관료 — 가방 속 무엇? 음모·로비 환유	GEN-14(첩보)+VR-17+EM-08	빈 의자·가방=부재/음모 환유(COMP). 첩보 톤
WP-33	소품 권력기호	마이크·확성기	microphone / megaphone / bullhorn	a cluster of news microphones, or a handheld bullhorn raised to the mouth	발화·선동·여론 — 마이크 다발=언론 포위, 확성기=선동. 발화권 기표	GEN-15+AU-01(다이제틱)+V13(중계)	마이크 다발=취재 환유. 확성기=시위 음원(AU-01)
WP-34	소품 권력기호	트로피·상패	trophy / award plaque	gleaming trophy or award plaque held up, self-congratulatory	자화자찬·치적 — 트로피=과시. 풍자=초라한 실상과 병치	WP-03+VR-18(반어)+LIGHT17	자화자찬 풍자. 반어 병치로 효과
WP-35	소품 권력기호	국기·엠블럼	flag stand / official emblem	national flag on a stand, official lectern emblem behind a speaker	공식성·국가 권위 — 연단 뒤 국기=공인된 발화. 풍자=권위 빌리기	WP-01+ENV(관공서)+V13	기관 엠블럼은 가상화. 공식 권위 무대장치
WP-36	시대별 의상	7080 복고	1970s-80s Korean retro	wide-collar shirt, bell-bottoms, vintage Korean 70s-80s street fashion	향수·개발연대·권위주의 시대 — 복고=시대 소환. 과거 정치 풍자	STYLE07(70s)+FM-19+LIGHT01	시대극 재연. 개발독재기 톤
WP-37	시대별 의상	90년대 복고	1990s Korean retro	90s oversized blazer, bold patterns, early-mobile-phone era styling	X세대·민주화 이후 — 90s=세대 기억. 그 시대 사건 재연	STYLE07+FM-19+ENV	연도 식별 키. 세대 풍자
WP-38	전통복	남자 한복 일습	men's hanbok set	men's jeogori and baji (loose trousers) gathered at ankle, vest jokki and magoja overcoat, white socks beoseon, top-knot or neat hair	전통·격식·가부장 — 남성 정장 한복. 명절·종갓집·차례 가장 기표	WP-39(두루마기)+KR-04+KR-05	기존 WP-09는 여성형 채색 한복 — 남성 일습은 신규
WP-39	전통복	두루마기	durumagi overcoat	long Korean overcoat durumagi worn over hanbok, straight calf-length lines, fastened with a single chest tie, sober tone	격식·외출복 — 1895 단발령 후 만민 평등 예복(고증). 점잖음·전통 권위	WP-38+KR-04	검증: 두루마기=근대 통합 예복(고증). 도포(WP-43)와 구분
WP-40	전통복	개량·생활한복	modern living hanbok	simplified modern hanbok, hanbok lines in everyday fabric, shortened practical cut, muted contemporary colors, worn casually	전통의 현대화 — 문화·관광·소프트파워 행보 기표. 풍자=전통 코스프레	WP-09+EM-03	기존 WP-09(정통 채색)과 구분 — 생활용 약식
WP-41	전통복	활옷·원삼(예복)	hwalot / wonsam bridal robe	ornate ceremonial robe, red ground with saekdong striped sleeves and white cuffs, embroidered floral panels, jokduri or hwagwan headpiece	혼례·국가의례 최고 격식 — 화려함의 정점. 풍자=과시·허례	STYLE02+KR-31+LIGHT07	검증: 활옷=홍색 바탕+색동 소매(고증). 무복으로도 전용
WP-42	전통복	갓·도포(선비)	gat & dopo scholar	wide-brimmed horsehair hat gat with black gauze, flowing dopo robe with wide sleeves, long sash, scholar's dignified bearing	선비·양반·권위 — 사극 지배층 기표. 풍자=구태·관념의 화신	KR-04+STYLE02+WP-44	검증: 도포=조선 중기~ 사대부 예복(고증). 갓=양반 식별 키
WP-43	전통복	색동·설빔	saekdong festive wear	child's festive hanbok with rainbow saekdong striped sleeves, bright obangsaek bands, small cap or norigae ornament	명절·동심·세대 — 색동 = 오방색 배색(고증). 새해·세배 정서	KR-06+EM-04	기존 한복류와 구분(아동 명절복). 미성년=캐리커처(SF)
WP-44	전통 소품	부채·곰방대·갓끈	fan, long pipe, hat-string	folding paper fan, long bamboo smoking pipe gombangdae, beaded hat-string, scholar's accoutrements held with affected leisure	양반의 여유·권위 과시 — 소품으로 계급 연기. 풍자=한가한 기득권	WP-42+VR-19	곰방대=긴 담뱃대(양반 환유). 33 제스처와 결합
WP-45	정치 유니폼	국회의원 배지	lawmaker's lapel badge	small round gold National Assembly member badge pinned to the lapel, subtle but unmistakable status marker	의원 신분·권력 — 옷깃의 금배지=특권의 환유. 클로즈업 계급 신호	WP-01+S10(CU)+COMP-04	실제 도안(무궁화/한자)=가상화. 금배지=권력 환유 단골
WP-46	정치 유니폼	당색 점퍼	party-color windbreaker	zip-up campaign windbreaker in a solid party color [red/blue/green], name and slogan print, worn over shirt on the stump	진영·선거운동 — 단색 점퍼 = 걸어다니는 진영 깃발. 색이 곧 소속	WP-27+KR-16+WP-47	기존 WP-27(민생 점퍼)과 구분 — 당색·유세복. 색=14 CE
WP-47	정치 유니폼	어깨띠(후보)	candidate's sash	bright candidate sash worn diagonally across the chest, name and number printed, bowing at a street corner	선거·읍소 — 어깨띠+90도 인사 = 한국 유세 정형. 풍자=가식 인사	WP-46+KR-16+EM-03	어깨띠=후보 식별 코드(고증). 이름·번호=후반 합성
WP-48	정치 유니폼	민방위복	civil-defense uniform	olive-and-yellow civil-defense field uniform with cap, worn at drills and emergency briefings, bureaucratic field look	비상·안보·관료 동원 — 민방위복 = 국가 비상 모드 기표	WP-49+KR-16+EM-08	민방위복=한국 특유 비상 제복(고증). 군복(WP-05)과 구분
WP-49	정치 유니폼	현장 점퍼+안전모	site jacket & hard hat	branded field jacket over a shirt with a colored hard hat, gloves, 'inspecting the site' pose at a disaster or construction scene	현장 정치·재난 시찰 — 안전모+점퍼 = 일하는 척 기표. 풍자=보여주기	WP-25+KR-49+EM-03	기존 WP-25(작업복 본연)·WP-27(점퍼)과 구분 — 시찰 연출용
WP-50	제복	죄수복·수의	prison & detention garb	plain detention uniform or court-appearance suit, number tag, wrists cuffed with white rope restraint, masked bowed head	구속·단죄·추락 — 수의·포승 = 사법 심판의 시각화	KR-19+WP-08+EM-13	검증: 포토라인 수의·포승(고증). 실존 인물=캐리커처·라벨만
WP-51	종교복	승복(불교)	Buddhist monk's robe	grey monastic robe with brown kasaya sash draped over one shoulder, shaved head, prayer beads, serene bearing	불교·청빈·초월 — 회색 승복 = 무욕의 기표. 풍자=세속화된 종교권력	KR-29+WP-19+LIGHT07	기존 WP-19(일반 성직복)과 구분 — 불교 특정. 교단 비방 회피
WP-52	종교복	신부·목사복	Christian clergy garb	black cassock with white clerical collar, or pastor's dark suit with stole, modest devotional dress	기독교·도덕·권위 — 로만칼라 = 성직 기표. 위선·정교유착 풍자	KR-30+WP-19+EM-03	기존 WP-19(일반화)에서 기독교 특정. 특정 교단 식별 회피
WP-53	종교복	무복(무당)	shaman's costume	bright shaman robe, red cheollik or saekdong-striped robe, headpiece, bells and fan and trident in hand, vivid theatrical color	무속·점괘·비합리 — 색동 무복 = 신들림의 기표. 미신 정치 풍자	KR-31+STYLE02+M	검증: 무복=홍철릭·색동·활옷(고증). 굿 소품(방울·삼지창)과 세트
WP-54	시위 기표	시위 우비·은박담요	protest poncho & foil blanket	cheap disposable rain poncho or silver emergency foil blanket worn at a long outdoor sit-in, huddled against cold	장기 농성·악천후 견딤 — 은박담요 = 밤샘 집회의 기표. 끈질김 연출	KR-08+KR-13+WX	기존 시위복(WP-11~18)과 구분 — 농성 지속성 소품. 군중 M14
WP-55	시위 기표	방진·분진 마스크	dust / hazard mask	heavy industrial dust or hazard mask worn at a protest or worksite, goggles, sense of toxic or contested air	위험·항의·은폐 이중 — 방진마스크 = 유해·연막 맥락. 익명+경계	WP-17+KR-21+WX(연기)	기존 WP-17(구호면 천마스크)과 구분 — 중량 산업/방독형
WP-56	시대 소품	태극기(착용·휴대)	wearable / handheld flag	Korean flag worn as a cape or headband, or handheld and waved, sometimes paired with a US flag in a rally crowd	진영 정체성 — 국기 두름 = 국가주의 퍼포먼스 기표(실측)	WP-15+KR-34+M14	기존 WP-15(깃발 소품)과 구분 — 몸에 두르는 착용 형태. 실제 도안 주의
WP-57	시대 소품	새마을 모자	Saemaul cap	green Saemaul-era field cap, sometimes with a towel around the neck, 1970s developmental-era rural mobilization look	개발연대·동원·향수 — 새마을 모자 = 70년대 관제 동원 기표	WP-36+KR-40+STYLE07	검증: 새마을운동 표상(고증). 7080 복고(WP-36)와 세트. 시대 식별 키
WP-58	소품 권력기호	의사봉(개버럴)	assembly gavel	a wooden assembly gavel and sound block on the rostrum, raised mid-strike or lying abandoned during chaos	의사진행·권위 — 의사봉 = 발언권·정리 권력의 환유	KR-17+WP-08+COMP-04	법봉(WP-08 gavel)과 구분 — 국회 의장 의사봉. 단상 점거 시 방치 연출
WP-59	소품 권력기호	명패(국회·청문회)	desk nameplate	a triangular wooden nameplate on a parliamentary or hearing desk, sometimes flipped or knocked over in a scuffle	직책·신분 표지 — 명패 = 호명된 권력. 점거 시 흩날림=무질서	KR-15+KR-17+COMP-04	이름 텍스트=후반 합성(NEG03). 32 블로킹과 결합
WP-60	소품 권력기호	근조 리본·완장(상주)	mourning ribbon & armband	black mourning ribbon pinned to the chest, or a chief-mourner's hemp armband and band, somber formal black	애도·국상·상주 — 검은 리본·완장 = 조의 또는 항의 기표	WP-20+KR-71+EM-13	기존 WP-29(추모 색리본)·WP-30(권한 완장)과 구분 — 상주 상장(喪章)
